id;question;answer;domain_id
1;What are the main differences between Java and C++?;"Everything is an object in Java( Single root hierarchy as everything gets derived from java.lang.Object). Java does not have all the complicated aspects of C++ ( For ex: Pointers, templates, unions, operator overloading, structures etc..)  The Java language promoters initially said ""No pointers!"", but when many programmers questioned how you can work without pointers, the promoters began saying ""Restricted pointers."" You can make up your mind whether it’s really a pointer or not. In any event, there’s no pointer arithmetic. There are no destructors in Java. (automatic garbage collection),  Java does not support conditional compile (#ifdef/#ifndef type). Thread support is built into java but not in C++. Java does not support default arguments. There’s no scope resolution operator :: in Java. Java uses the dot for everything, but can get away with it since you can define elements only within a class. Even the method definitions must always occur within a class, so there is no need for scope resolution there either. There’s no ""goto "" statement in Java. Java doesn’t provide multiple inheritance (MI), at least not in the same sense that C++ does. Exception handling in Java is different because there are no destructors. Java has method overloading, but no operator overloading. The String class does use the + and += operators to concatenate strings and String expressions use automatic type conversion, but that’s a special built-in case. Java is interpreted for the most part and hence platform independent";2
2;Describe the principles of OOPS;There are three main principals of oops which are called Polymorphism, Inheritance and Encapsulation;2
3;Explain the Encapsulation principle;Encapsulation is a process of binding or wrapping the data and the codes that operates on the data into a single entity. This keeps the data safe from outside interface and misuse. One way to think about encapsulation is as a protective wrapper that prevents code and data from being arbitrarily accessed by other code defined outside the wrapper.  ;2
4;Explain the Inheritance principle.;Inheritance is the process by which one object acquires the properties of another object.  ;2
5;Explain the Polymorphism principle;"The meaning of Polymorphism is something like one name many forms. Polymorphism enables one entity to be used as as general category for different types of actions. The specific action is determined by the exact nature of the situation. The concept of polymorphism can be explained as ""one interface, multiple methods""";2
6;Explain the different forms of Polymorphism.;"From a practical programming viewpoint, polymorphism exists in three distinct forms in Java:  •	Method overloading  •	Method overriding through inheritance  •	Method overriding through the Java interface";2
7;What is difference between overloading and overriding?;- a) In overloading, there is a relationship between methods available in the same class whereas in overriding, there is relationship between a superclass method and subclass method.  b) Overloading does not block inheritance from the superclass whereas o;2
8;Can a private method of a superclass be declared within a subclass?;Sure. A private field or method or inner class belongs to its declared class and hides from its subclasses.  There is no way for private stuff to have a runtime overloading or overriding (polymorphism) features.;2
9;The toString ( ) method in the user-defined exception class is overridden.;True;2
10;What if the main method is declared as private? ;"The program compiles properly but at runtime it will give ""Main method not public."" message.";2
11;What if I do not provide the String array as the argument to the method?;"Program compiles. But at runtime throws an error ""NoSuchMethodError"".";2
12;Can an application have multiple classes having main method?;Yes. While starting the application we mention the class name to be run. The JVM will look for the main method only in the class whose name you have mentioned. Hence there is not conflict amongst the multiple classes having main method.;2
13;Can I have multiple main methods in the same class?;We can have multiple overloaded main methods but there can be only one main method with the following signature : public static void main(String[] args) {};2
14;Expain the reason for each keyword of public static void main(String args[])?;public- main(..) is the first method called by java environment when a program is executed so it has to accessible from java environment. Hence the access specifier has to be public. static: Java environment should be able to call this method without creating an instance of the class , so this method must be declared as static. void: main does not return anything so the return type must be void The argument String indicates the argument type which is given at the command line and arg is an array for string given during command line.;2
15;If you’re overriding the method equals() of an object, which other method you might also consider?;hashCode();2
16;What’s the difference between == and equals method? ;equals checks for the content of the string objects while == checks for the fact that the two String objects point to same memory location ie they are same references.;2
17;How would you make a copy of an entire Java object with its state?;Have this class implement Cloneable interface and call its method clone().;2
18;Explain working of Java Virtual Machine (JVM)?;JVM is an abstract computing machine like any other real computing machine which first converts .java file into .class file by using Compiler (.class is nothing but byte code file.) and Interpreter reads byte codes.;2
19;What gives java it’s “write once and run anywhere” nature?;All Java programs are compiled into class files that contain bytecodes. These byte codes can be run in any platform and hence java is said to be platform independent.;2
20;Can I import same package/class twice? Will the JVM load the package twice at runtime?;One can import the same package or same class multiple times. Neither compiler nor JVM complains anything about it. And the JVM will internally load the class only once no matter how many times you import the same class. ;2
21;Is JVM a compiler or an interpreter?;Interpreter;2
22;What is the difference between public, private, protected and default Access Specifiers?;Access specifiers are keywords that determine the type of access to the member of a class. These keywords are for allowing privileges to parts of a program such as functions and variables. These are:  • Public : accessible to all classes • Protected : accessible to the classes within the same package and any subclasses. • Private : accessible only to the class to which they belong • Default : accessible to the class to which they belong and to subclasses within the same package;2
23;Can a top-level class be private or protected?;"No. A top-level class cannot be private or protected. It can have either ""public"" or no modifier. If it does not have a modifier it is supposed to have a default access. If a top level class is declared as private/protected the compiler will complain that the ""modifier private is not allowed here”. ";2
24;If a class is declared without any access modifiers, where may the class be accessed?;A class that is declared without any access modifiers is said to have package or default access. This means that the class can only be accessed by other classes and interfaces that are defined within the same package.;2
25;If a method is declared as protected, where may the method be accessed? ;A protected method may only be accessed by classes or interfaces of the same package or by subclasses of the class in which it is declared. ;2
26;What is the purpose of the Runtime class?;The purpose of the Runtime class is to provide access to the Java runtime system. It returns the runtime information like memory availability. * Runtime.freeMemory() --> Returns JVM Free Memory * Runtime.maxMemory() --> Returns the maximum amount of memory that the JVM will attempt to use. It also helps to run the garbage collector * Runtime.gc();2
27;What is the purpose of the System class?;The purpose of the System class is to provide access to system resources.;2
28;In System.out.println(), what is System, out and println?;System is a predefined final class, out is a PrintStream object and println is a built-in overloaded method in the out object.;2
29;What is the difference between final, finally and finalize? What do you understand by the java final keyword?;o final - declare constant o finally - handles exception o finalize - helps in garbage collection;2
